season,race,position,driver,team,time,points_earned,weather,laps
1,6,2,Pi_Sedecim,Spanky's Fast Cars,3963.2394231945805,18,Wet,49
1,6,3,Eta_Septimus,Crashout Formula One,4220.782681457612,15,Wet,49
1,6,4,Mu_Duodecimus,Boba Tea Gnarly Automotives,4245.899281770686,12,Wet,49
1,6,5,Omicron_Quindecim,B2B SaaS Motorsport,4432.969522775263,10,Wet,49
1,6,6,Gamma_Tertius,Boba Tea Gnarly Automotives,4436.231185083378,8,Wet,49
1,6,7,Epsilon_Quintus,Lag's 200 Ping Power,4465.42994778412,6,Wet,49
1,6,8,Iota_Nonus,DNF Finishers,4542.372610518021,4,Wet,49
1,6,9,Alpha_Primus,TurboToast Racing,4555.123575774527,2,Wet,49
1,6,10,Sigma_Duodevicesimus,TurboToast Racing,4557.580577474708,1,Wet,49
1,6,11,Zeta_Sextus,Lag's 200 Ping Power,4577.711044435857,0,Wet,49
1,6,12,Tau_Undevicesimus,Crashout Formula One,4589.44744840525,0,Wet,49
1,6,13,Xi_Quattuordecim,LDCMWEBLGTBWLS,4591.948547669644,0,Wet,49
1,6,14,Theta_Octavus,LDCMWEBLGTBWLS,4645.274524663205,0,Wet,49
1,6,15,Beta_Secundus,Red Velvet Racing,4672.619909636545,0,Wet,49
1,6,16,Upsilon_Vicesimus,Spanky's Fast Cars,4719.209119571525,0,Wet,49
1,6,17,Lambda_Undecimus,Tapped In Team,4937.492565104463,0,Wet,49
1,6,18,Nu_Tredecimus,B2B SaaS Motorsport,4972.377609923856,0,Wet,49
1,6,19,Kappa_Decimus,Red Velvet Racing,5072.026545369157,0,Wet,49
1,6,20,Delta_Quartus,DNF Finishers,32743.42629955442,0,Wet,49
1,7,1,Epsilon_Quintus,Lag's 200 Ping Power,2978.0943864812307,25,Sunny,43
1,7,2,Rho_Septendecim,Tapped In Team,2980.348660857425,18,Sunny,43
1,7,3,Omicron_Quindecim,B2B SaaS Motorsport,2981.996893505762,15,Sunny,43
1,7,4,Gamma_Tertius,Boba Tea Gnarly Automotives,2984.464759062751,12,Sunny,43
1,7,5,Lambda_Undecimus,Tapped In Team,2985.090629920362,10,Sunny,43
1,7,6,Xi_Quattuordecim,LDCMWEBLGTBWLS,2987.6819555157317,8,Sunny,43
1,7,7,Alpha_Primus,TurboToast Racing,2988.5693113391285,6,Sunny,43
1,7,8,Pi_Sedecim,Spanky's Fast Cars,2988.604607302312,4,Sunny,43
1,7,9,Eta_Septimus,Crashout Formula One,2989.0368299436,2,Sunny,43
1,7,10,Zeta_Sextus,Lag's 200 Ping Power,4161.220986714836,1,Sunny,43
1,7,11,Beta_Secundus,Red Velvet Racing,4166.811862722145,0,Sunny,43
1,7,12,Upsilon_Vicesimus,Spanky's Fast Cars,4169.737139279704,0,Sunny,43
1,7,13,Delta_Quartus,DNF Finishers,4263.526969951986,0,Sunny,43
1,7,14,Nu_Tredecimus,B2B SaaS Motorsport,4269.847791864943,0,Sunny,43
1,7,15,Sigma_Duodevicesimus,TurboToast Racing,4272.942246494674,0,Sunny,43
1,7,16,Kappa_Decimus,Red Velvet Racing,4311.4352537252125,0,Sunny,43
1,7,17,Iota_Nonus,DNF Finishers,4313.363397364003,0,Sunny,43
1,7,18,Tau_Undevicesimus,Crashout Formula One,4365.948806606907,0,Sunny,43
1,7,19,Theta_Octavus,LDCMWEBLGTBWLS,4366.193022954025,0,Sunny,43
1,7,20,Mu_Duodecimus,Boba Tea Gnarly Automotives,37418.78368767607,0,Sunny,43
1,8,1,Tau_Undevicesimus,Crashout Formula One,3025.928915460283,25,Unknown,39
1,8,2,Beta_Secundus,Red Velvet Racing,3028.073294235432,18,Unknown,39
1,8,3,Theta_Octavus,LDCMWEBLGTBWLS,3028.400159257947,15,Unknown,39
1,8,4,Iota_Nonus,DNF Finishers,3031.570525338431,12,Unknown,39
1,8,5,Kappa_Decimus,Red Velvet Racing,3032.3561462286616,10,Unknown,39
1,8,6,Zeta_Sextus,Lag's 200 Ping Power,3036.0269103922446,8,Unknown,39
1,8,7,Sigma_Duodevicesimus,TurboToast Racing,3092.772131354014,6,Unknown,39
1,8,8,Xi_Quattuordecim,LDCMWEBLGTBWLS,3094.0208355059117,4,Unknown,39
1,8,9,Delta_Quartus,DNF Finishers,3106.962004072761,2,Unknown,39
1,8,10,Lambda_Undecimus,Tapped In Team,3108.958968215932,1,Unknown,39
1,8,11,Pi_Sedecim,Spanky's Fast Cars,3116.5327602849616,0,Unknown,39
1,8,12,Gamma_Tertius,Boba Tea Gnarly Automotives,3161.5153604637326,0,Unknown,39
1,8,13,Epsilon_Quintus,Lag's 200 Ping Power,3187.621509249653,0,Unknown,39
1,8,14,Omicron_Quindecim,B2B SaaS Motorsport,3196.5969377566817,0,Unknown,39
1,8,15,Rho_Septendecim,Tapped In Team,3219.0558752893066,0,Unknown,39
1,8,16,Nu_Tredecimus,B2B SaaS Motorsport,3367.049931964896,0,Unknown,39
1,8,17,Mu_Duodecimus,Boba Tea Gnarly Automotives,3956.3451532267773,0,Unknown,39
1,8,18,Alpha_Primus,TurboToast Racing,10404.152627662064,0,Unknown,39
1,8,19,Eta_Septimus,Crashout Formula One,12250.263626612019,0,Unknown,39
1,8,20,Upsilon_Vicesimus,Spanky's Fast Cars,12250.444867458662,0,Unknown,39
1,9,1,Theta_Octavus,LDCMWEBLGTBWLS,5552.801488295919,25,Unknown,66
1,9,2,Tau_Undevicesimus,Crashout Formula One,5559.899773834441,18,Unknown,66
1,9,3,Kappa_Decimus,Red Velvet Racing,5566.5665903417475,15,Unknown,66
1,9,4,Beta_Secundus,Red Velvet Racing,5567.513979587375,12,Unknown,66
1,9,5,Upsilon_Vicesimus,Spanky's Fast Cars,5569.071433947844,10,Unknown,66
1,9,6,Iota_Nonus,DNF Finishers,5575.385010337707,8,Unknown,66
1,9,7,Zeta_Sextus,Lag's 200 Ping Power,5577.175557427677,6,Unknown,66
1,9,8,Mu_Duodecimus,Boba Tea Gnarly Automotives,5577.896734783373,4,Unknown,66
1,9,9,Xi_Quattuordecim,LDCMWEBLGTBWLS,5577.940296238847,2,Unknown,66
1,9,10,Sigma_Duodevicesimus,TurboToast Racing,5578.654818936465,1,Unknown,66
1,9,11,Delta_Quartus,DNF Finishers,5582.001417599262,0,Unknown,66
1,9,12,Lambda_Undecimus,Tapped In Team,5586.372575041951,0,Unknown,66
1,9,13,Epsilon_Quintus,Lag's 200 Ping Power,5587.889182097623,0,Unknown,66
1,9,14,Rho_Septendecim,Tapped In Team,5596.90682090696,0,Unknown,66
1,9,15,Nu_Tredecimus,B2B SaaS Motorsport,5764.483318727249,0,Unknown,66
1,9,16,Eta_Septimus,Crashout Formula One,25612.530350379926,0,Unknown,66
1,9,17,Pi_Sedecim,Spanky's Fast Cars,41096.3924243574,0,Unknown,66
1,9,18,Omicron_Quindecim,B2B SaaS Motorsport,49394.10059719851,0,Unknown,66
1,9,19,Gamma_Tertius,Boba Tea Gnarly Automotives,49394.83478244429,0,Unknown,66
1,9,20,Alpha_Primus,TurboToast Racing,60469.85165350636,0,Unknown,66
1,10,1,Theta_Octavus,LDCMWEBLGTBWLS,6076.872021843467,25,Unknown,72
1,10,2,Tau_Undevicesimus,Crashout Formula One,6079.580887167407,18,Unknown,72
1,10,3,Kappa_Decimus,Red Velvet Racing,6085.428413064071,15,Unknown,72
1,10,4,Iota_Nonus,DNF Finishers,6095.558732682825,12,Unknown,72
1,10,5,Xi_Quattuordecim,LDCMWEBLGTBWLS,6096.0623287757235,10,Unknown,72
1,10,6,Sigma_Duodevicesimus,TurboToast Racing,6098.942894167677,8,Unknown,72
1,10,7,Zeta_Sextus,Lag's 200 Ping Power,6101.1599886038,6,Unknown,72
1,10,8,Mu_Duodecimus,Boba Tea Gnarly Automotives,6102.030363461046,4,Unknown,72
1,10,9,Alpha_Primus,TurboToast Racing,6102.088398861461,2,Unknown,72
1,10,10,Delta_Quartus,DNF Finishers,6102.201453781252,1,Unknown,72
1,10,11,Eta_Septimus,Crashout Formula One,6104.237055869895,0,Unknown,72
1,10,12,Lambda_Undecimus,Tapped In Team,6106.492199874217,0,Unknown,72
1,10,13,Gamma_Tertius,Boba Tea Gnarly Automotives,6110.101545320106,0,Unknown,72
1,10,14,Omicron_Quindecim,B2B SaaS Motorsport,6112.5840614758,0,Unknown,72
1,10,15,Epsilon_Quintus,Lag's 200 Ping Power,6116.618709946381,0,Unknown,72
1,10,16,Rho_Septendecim,Tapped In Team,6119.495546821794,0,Unknown,72
1,10,17,Nu_Tredecimus,B2B SaaS Motorsport,6292.023167503925,0,Unknown,72
1,10,18,Beta_Secundus,Red Velvet Racing,24317.509487333253,0,Unknown,72
1,10,19,Upsilon_Vicesimus,Spanky's Fast Cars,24319.331221604327,0,Unknown,72
1,10,20,Pi_Sedecim,Spanky's Fast Cars,56317.26117729249,0,Unknown,72
2,1,1,Rho_Septendecim,Tapped In Team,4011.9791731319883,25,Sunny,58
2,1,2,Epsilon_Quintus,Lag's 200 Ping Power,4012.1293418259074,18,Sunny,58
2,1,3,Lambda_Undecimus,Tapped In Team,4012.4625801976304,15,Sunny,58
2,1,4,Omicron_Quindecim,B2B SaaS Motorsport,4012.7968189230837,12,Sunny,58
2,1,5,Gamma_Tertius,Boba Tea Gnarly Automotives,4013.344699205886,10,Sunny,58
2,1,6,Pi_Sedecim,Spanky's Fast Cars,4016.4108041962745,8,Sunny,58
2,1,7,Eta_Septimus,Crashout Formula One,4017.343157237624,6,Sunny,58
2,1,8,Mu_Duodecimus,Boba Tea Gnarly Automotives,4018.871488891298,4,Sunny,58
2,1,9,Alpha_Primus,TurboToast Racing,4020.516851404379,2,Sunny,58
2,1,10,Zeta_Sextus,Lag's 200 Ping Power,5471.281386077472,1,Sunny,58
2,1,11,Beta_Secundus,Red Velvet Racing,5515.447917305334,0,Sunny,58
2,1,12,Upsilon_Vicesimus,Spanky's Fast Cars,5533.504398664258,0,Sunny,58
2,1,13,Nu_Tredecimus,B2B SaaS Motorsport,5578.393597582972,0,Sunny,58
2,1,14,Sigma_Duodevicesimus,TurboToast Racing,5578.447939102613,0,Sunny,58
2,1,15,Kappa_Decimus,Red Velvet Racing,5615.434910352267,0,Sunny,58
2,1,16,Theta_Octavus,LDCMWEBLGTBWLS,5708.829455425775,0,Sunny,58
2,1,17,Tau_Undevicesimus,Crashout Formula One,10253.337182546158,0,Sunny,58
2,1,18,Xi_Quattuordecim,LDCMWEBLGTBWLS,29155.58957509957,0,Sunny,58
2,1,19,Iota_Nonus,DNF Finishers,49113.9246863571,0,Sunny,58
2,1,20,Delta_Quartus,DNF Finishers,49115.76940316587,0,Sunny,58
2,2,1,Rho_Septendecim,Tapped In Team,2567.186621983808,25,Sunny,37
2,2,2,Lambda_Undecimus,Tapped In Team,2568.430168694607,18,Sunny,37
2,2,3,Gamma_Tertius,Boba Tea Gnarly Automotives,2568.719186993527,15,Sunny,37
2,2,4,Alpha_Primus,TurboToast Racing,2570.831746953691,12,Sunny,37
2,2,5,Eta_Septimus,Crashout Formula One,2571.542262286042,10,Sunny,37
2,2,6,Epsilon_Quintus,Lag's 200 Ping Power,2572.4897981533945,8,Sunny,37
2,2,7,Pi_Sedecim,Spanky's Fast Cars,2573.1734893457597,6,Sunny,37
2,2,8,Zeta_Sextus,Lag's 200 Ping Power,3589.8654816897283,4,Sunny,37
2,2,9,Beta_Secundus,Red Velvet Racing,3592.218416123693,2,Sunny,37
2,2,10,Upsilon_Vicesimus,Spanky's Fast Cars,3592.9123669636956,1,Sunny,37
2,2,11,Delta_Quartus,DNF Finishers,3734.0743041440255,0,Sunny,37
2,2,12,Nu_Tredecimus,B2B SaaS Motorsport,3738.6890352032174,0,Sunny,37
2,2,13,Sigma_Duodevicesimus,TurboToast Racing,3744.1560001176713,0,Sunny,37
2,2,14,Tau_Undevicesimus,Crashout Formula One,3815.668279524886,0,Sunny,37
2,2,15,Theta_Octavus,LDCMWEBLGTBWLS,3818.46481293924,0,Sunny,37
2,2,16,Xi_Quattuordecim,LDCMWEBLGTBWLS,7224.693417569645,0,Sunny,37
2,2,17,Omicron_Quindecim,B2B SaaS Motorsport,7224.907416931917,0,Sunny,37
2,2,18,Iota_Nonus,DNF Finishers,7396.275296141279,0,Sunny,37
2,2,19,Mu_Duodecimus,Boba Tea Gnarly Automotives,10949.56929727385,0,Sunny,37
2,2,20,Kappa_Decimus,Red Velvet Racing,12838.530278675009,0,Sunny,37
2,3,1,Rho_Septendecim,Tapped In Team,5078.733481959779,25,Wet,67
2,3,2,Pi_Sedecim,Spanky's Fast Cars,5202.4804286014505,18,Wet,67
2,3,3,Eta_Septimus,Crashout Formula One,5605.361920334392,15,Wet,67
2,3,4,Omicron_Quindecim,B2B SaaS Motorsport,5860.936378896141,12,Wet,67
2,3,5,Epsilon_Quintus,Lag's 200 Ping Power,5862.465670144249,10,Wet,67
2,3,6,Iota_Nonus,DNF Finishers,5974.77565515913,8,Wet,67
2,3,7,Xi_Quattuordecim,LDCMWEBLGTBWLS,5977.177182155771,6,Wet,67
2,3,8,Sigma_Duodevicesimus,TurboToast Racing,6003.968937879963,4,Wet,67
2,3,9,Zeta_Sextus,Lag's 200 Ping Power,6030.190475395362,2,Wet,67
2,3,10,Tau_Undevicesimus,Crashout Formula One,6050.0613735517145,1,Wet,67
2,3,11,Theta_Octavus,LDCMWEBLGTBWLS,6095.942789278907,0,Wet,67
2,3,12,Lambda_Undecimus,Tapped In Team,6349.884669880692,0,Wet,67
2,3,13,Nu_Tredecimus,B2B SaaS Motorsport,6483.351639685835,0,Wet,67
2,3,14,Kappa_Decimus,Red Velvet Racing,6557.49517161179,0,Wet,67
2,3,15,Alpha_Primus,TurboToast Racing,8742.632453308295,0,Wet,67
2,3,16,Upsilon_Vicesimus,Spanky's Fast Cars,17192.97965619311,0,Wet,67
2,3,17,Mu_Duodecimus,Boba Tea Gnarly Automotives,28689.28482165242,0,Wet,67
2,3,18,Gamma_Tertius,Boba Tea Gnarly Automotives,28873.550481188762,0,Wet,67
2,3,19,Delta_Quartus,DNF Finishers,32649.497166602505,0,Wet,67
2,3,20,Beta_Secundus,Red Velvet Racing,49839.52115393666,0,Wet,67
2,4,1,Rho_Septendecim,Tapped In Team,3872.6703884374865,25,Sunny,56
2,4,2,Gamma_Tertius,Boba Tea Gnarly Automotives,3874.812609264293,18,Sunny,56
2,4,3,Omicron_Quindecim,B2B SaaS Motorsport,3874.8974658146813,15,Sunny,56
2,4,4,Lambda_Undecimus,Tapped In Team,3876.173081779393,12,Sunny,56
2,4,5,Xi_Quattuordecim,LDCMWEBLGTBWLS,3879.9273287382744,10,Sunny,56
2,4,6,Alpha_Primus,TurboToast Racing,3883.8829572670543,8,Sunny,56
2,4,7,Mu_Duodecimus,Boba Tea Gnarly Automotives,3886.830598516544,6,Sunny,56
2,4,8,Zeta_Sextus,Lag's 200 Ping Power,5302.870180054369,4,Sunny,56
2,4,9,Beta_Secundus,Red Velvet Racing,5337.99578936981,2,Sunny,56
2,4,10,Upsilon_Vicesimus,Spanky's Fast Cars,5354.457081175729,1,Sunny,56
2,4,11,Delta_Quartus,DNF Finishers,5400.213335530399,0,Sunny,56
2,4,12,Nu_Tredecimus,B2B SaaS Motorsport,5405.317437378202,0,Sunny,56
2,4,13,Sigma_Duodevicesimus,TurboToast Racing,5410.26463599857,0,Sunny,56
2,4,14,Iota_Nonus,DNF Finishers,5434.613591859265,0,Sunny,56
2,4,15,Kappa_Decimus,Red Velvet Racing,5439.013461736861,0,Sunny,56
2,4,16,Tau_Undevicesimus,Crashout Formula One,5512.848963728307,0,Sunny,56
2,4,17,Theta_Octavus,LDCMWEBLGTBWLS,5537.539757465788,0,Sunny,56
2,4,18,Eta_Septimus,Crashout Formula One,16920.010808474606,0,Sunny,56
2,4,19,Pi_Sedecim,Spanky's Fast Cars,27156.258003491545,0,Sunny,56
2,4,20,Epsilon_Quintus,Lag's 200 Ping Power,43907.03763764159,0,Sunny,56
2,5,1,Theta_Octavus,LDCMWEBLGTBWLS,5374.312425738972,25,Unknown,64
2,5,2,Tau_Undevicesimus,Crashout Formula One,5387.678262743391,18,Unknown,64
2,5,3,Kappa_Decimus,Red Velvet Racing,5388.176120550779,15,Unknown,64
2,5,4,Beta_Secundus,Red Velvet Racing,5396.87648281938,12,Unknown,64
2,5,5,Upsilon_Vicesimus,Spanky's Fast Cars,5400.1190661628725,10,Unknown,64
2,5,6,Zeta_Sextus,Lag's 200 Ping Power,5401.707352082068,8,Unknown,64
2,5,7,Mu_Duodecimus,Boba Tea Gnarly Automotives,5401.787883662585,6,Unknown,64
2,5,8,Iota_Nonus,DNF Finishers,5403.058084474966,4,Unknown,64
2,5,9,Pi_Sedecim,Spanky's Fast Cars,5404.273023705547,2,Unknown,64
2,5,10,Sigma_Duodevicesimus,TurboToast Racing,5405.512980812881,1,Unknown,64
2,5,11,Delta_Quartus,DNF Finishers,5409.147800114724,0,Unknown,64
2,5,12,Lambda_Undecimus,Tapped In Team,5412.319837555611,0,Unknown,64
2,5,13,Omicron_Quindecim,B2B SaaS Motorsport,5418.9550620787895,0,Unknown,64
2,5,14,Nu_Tredecimus,B2B SaaS Motorsport,11986.456484334334,0,Unknown,64
2,5,15,Epsilon_Quintus,Lag's 200 Ping Power,25482.90605603696,0,Unknown,64
2,5,16,Alpha_Primus,TurboToast Racing,28960.696874487374,0,Unknown,64
2,5,17,Eta_Septimus,Crashout Formula One,28977.52855483721,0,Unknown,64
2,5,18,Gamma_Tertius,Boba Tea Gnarly Automotives,36327.31006084963,0,Unknown,64
2,5,19,Rho_Septendecim,Tapped In Team,51086.616948345,0,Unknown,64
2,5,20,Xi_Quattuordecim,LDCMWEBLGTBWLS,51086.66843351095,0,Unknown,64
2,6,1,Rho_Septendecim,Tapped In Team,4951.368788751222,25,Wet,65
2,6,2,Pi_Sedecim,Spanky's Fast Cars,5063.531065232777,18,Wet,65
2,6,3,Eta_Septimus,Crashout Formula One,5450.202068341605,15,Wet,65
2,6,4,Mu_Duodecimus,Boba Tea Gnarly Automotives,5469.256810150635,12,Wet,65
2,6,5,Omicron_Quindecim,B2B SaaS Motorsport,5702.323186122238,10,Wet,65
2,6,6,Epsilon_Quintus,Lag's 200 Ping Power,5710.059307892312,8,Wet,65
2,6,7,Gamma_Tertius,Boba Tea Gnarly Automotives,5718.325305907768,6,Wet,65
2,6,8,Iota_Nonus,DNF Finishers,5818.250886372238,4,Wet,65
2,6,9,Alpha_Primus,TurboToast Racing,5821.762956845012,2,Wet,65
2,6,10,Delta_Quartus,DNF Finishers,5831.496325278357,1,Wet,65
2,6,11,Sigma_Duodevicesimus,TurboToast Racing,5851.805262672647,0,Wet,65
2,6,12,Zeta_Sextus,Lag's 200 Ping Power,5867.324126067963,0,Wet,65
